,기업명,채용공고,위치,위치상세,태그,마감일,경력
69,우아한청년들,애널리틱스 엔지니어(3년~7년),서울 송파구,서울특별시 송파구 올림픽로35다길 32 예전빌딩 9층,"복지포인트,대출지원,장비지원,재택근무,1,001~10,000명,설립4~9년",상시채용,경력 3-7년
70,네오사피엔스(타입캐스트),AI optimization engineer,서울 강남구,서울시 강남구 삼성동169 대화빌딩5층,"유망산업,커피·스낵바,자기계발지원,설립4~9년",상시채용,경력 3-20년
71,인터엑스,[서울][전문연구요원] 데이터 분석가 (이미지 및 영상),서울 금천구,서울 금천구 가산디지털1로 171 가산SKV1 센터 1001호,"유망산업,사내동호회,자율복장,보너스,유연근무,전문연구요원,설립4~9년",상시채용,경력 2-5년
72,가온프라임,이미지 생성 AI 프롬프트 엔지니어 (ComfyUI),서울 금천구,"서울 금천구 가산디지털2로 101, B동 14층 1402호","커피·스낵바,식대지원,설립3년이하",상시채용,신입
73,디오에프연구소,3D Geometry SW 엔지니어,서울 성동구,서울시 성동구 성수일로77 601~02호,"통신비,커피·스낵바,식대지원,육아휴직,유연근무,워크샵,보너스,의료비지원,출산휴가,자기계발지원,건강검진지원,휴가비,설립10년이상",상시채용,경력 1-15년
74,로민,데이터 엔지니어,서울 서초구,"서울 서초구 방배천로2길 10, 7층","유망산업,유연근무,휴가비,커피·스낵바,유급휴가,재택근무,설립4~9년",2024.05.31,경력 5-15년
75,코드잇(codeit),[100억↑투자] 콘텐츠 프로듀서 [데이터 사이언스 교육],서울 중구,중구 청계천로 100 시그니쳐타워 동관 10층,"재택근무,커피·스낵바,식대지원,유연근무,건강검진지원,스톡옵션,산업기능요원,장비지원,설립4~9년",상시채용,신입-경력 10년
76,로민,멀티모달(컴퓨터비전/자연어처리) 엔지니어,서울 서초구,"서울 서초구 방배천로2길 10, 7층","유망산업,유연근무,휴가비,커피·스낵바,유급휴가,재택근무,설립4~9년",2024.05.31,경력 5-15년
77,더블유컨셉코리아(W컨셉),검색&데이터 개발팀 AI/ML Engineer,서울 강남구,"서울시 강남구 테헤란로 231, 센터필드 EAST동 20층","의료비지원,출산휴가,자기계발지원,커피·스낵바,임직원할인,육아휴직,리프레시휴가,자유로운휴가,유연근무,설립10년이상",상시채용,경력 6-15년
78,에이트테크,AI데이터 매니저,서울 구로구,구로구,"자기계발지원,커피·스낵바,유망산업,설립4~9년",상시채용,경력 3-7년
79,페이히어,[200억↑투자] 데이터 엔지니어,서울 강남구,"서울특별시 강남구 강남대로 374, 16층","커피·스낵바,장비지원,산업기능요원,설립4~9년",상시채용,경력 3-10년
80,와드(캐치테이블),Data Analyst (시니어),경기 ,경기도 성남시 분당구 대왕판교로 660 유스페이스1 A동 605호,"커피·스낵바,휴가비,자기계발지원,건강검진지원,설립4~9년",상시채용,경력 5-15년
81,지에스리테일(GS리테일),TA 엔지니어 (비즈니스데이터),서울 영등포구,영등포구 선유로 75 GS강서타워,"의료비지원,건강검진지원,사내동호회,어린이돌봄,통신비,자기계발지원,설립10년이상",상시채용,경력 7-20년
82,이마고웍스,[100억↑투자] Data Engineer,서울 강남구,서울시 강남구 강남대로 636,"유망산업,커피·스낵바,유급휴가,건강검진지원,식대지원,설립4~9년",상시채용,경력 2-5년
