,기업명,채용공고,위치,위치상세,태그,마감일,경력
116,코너스톤파트너스디지털,Operation / Digital Consultant,서울 강남구,"서울시 강남구 테헤란로87길 22, 507호","자기계발지원,통신비,연봉상위1%,50명이하,설립10년이상",상시채용,신입-경력 5년
117,하나금융티아이,[하나금융융합기술원] 컴퓨터 비전(Computer Vision) 연구원,서울 강남구,서울특별시 강남구 테헤란로 127,"유망산업,의료비지원,연봉상위1%,인원급성장,1,001~10,000명,퇴사율 6~10%,설립10년이상",상시채용,경력 5-10년
118,넥슨코리아(NEXON),[인텔리전스랩스] 리서치 사이언티스트 (NLP),경기 성남시,"경기도 성남시 분당구 판교로 256번길 7, 넥슨","자기계발지원,편의시설,사내동호회,유망산업,유연근무,연봉상위1%,인원급성장,1,001~10,000명,설립10년이상",상시채용,경력 1-99년
119,넥슨코리아(NEXON),[인텔리전스랩스] 데이터 분석가 (게임 이상탐지),경기 성남시,"경기도 성남시 분당구 판교로 256번길 7, 넥슨","자기계발지원,편의시설,사내동호회,유망산업,유연근무,연봉상위1%,인원급성장,1,001~10,000명,설립10년이상",상시채용,경력 1-99년
120,앤트(aaant),ML Researcher,서울 강남구,"서울특별시 강남구 논현로75길 16, 201호","식대지원,커피·스낵바,재택근무,50명이하,설립4~9년",상시채용,경력 2-10년
121,밀리의서재,Data Analyst,서울 마포구,합정 메세나폴리스 세아타워 16층 <밀리의서재>,"유급휴가,자기계발지원,연봉상위2~5%,인원급성장,51~300명,설립4~9년",상시채용,경력 2-15년
122,베이글코드(Bagelcode),데이터 사이언티스트,서울 강남구,서울특별시 강남구 테헤란로328 (역삼동 708-1) 동우빌딩 16층,"식대지원,커피·스낵바,자기계발지원,산업기능요원,유망산업,연봉상위2~5%,인원급성장,51~300명,설립10년이상",상시채용,경력 3-10년
123,페니로이스,Data Scientist in Financial,서울 종로구,서울특별시 종로구 율곡로2길 7 서머셋팰리스서울 4층,"건강검진지원,자기계발지원,연봉상위2~5%,50명이하,설립10년이상",상시채용,경력 2-10년
124,앰버로드,Data Scientist,서울 강남구,서울 강남구 역삼동 선릉로 551,"자유로운휴가,커피·스낵바,유망산업,식대지원",상시채용,경력 2-5년
125,오픈놀,데이터 사이언티스트,서울 마포구,마포구 합정동 메세나폴리스 204호,"커피·스낵바,워크샵,편의시설,자율복장,휴가비,인원급성장,51~300명,설립10년이상",2024.05.31,경력 2-3년
126,디피니트,AI Engineer(LLM),서울 마포구,"서교동 475-1, 2층 (고래빌딩)","커피·스낵바,유연근무,재택근무,유망산업,인원급성장,50명이하,설립3년이하",상시채용,신입-경력 5년
127,에버엑스,AI 소프트웨어 엔지니어,서울 서초구,서울 서초구 서리풀길 29-7,"커피·스낵바,워크샵,유연근무,연봉업계평균이상,인원급성장,50명이하,설립4~9년",상시채용,경력 2-9년
128,넥서스에이아이,AI R&D(LLM 기반 법률상담 챗봇 서비스),서울 서초구,서울시 서초구 효령료 17,"건강검진지원,식대지원,커피·스낵바,연봉상위2~5%,인원급성장,50명이하,설립3년이하",상시채용,경력 2-20년
129,바로팜,[200억↑투자] 데이터 사이언티스트(데이터 센터),서울 강남구,역삼동 명우빌딩 3층,"식대지원,커피·스낵바,편의시설,스톡옵션,연봉업계평균이상,인원급성장,51~300명,설립4~9년",상시채용,경력 3-9년
130,여기어때컴퍼니,Data Scientist,서울 강남구,서울시 강남구 봉은사로 479,"사내동호회,휴가비,유연근무,식대지원,커피·스낵바,건강검진지원,편의시설,수평적조직,연봉상위2~5%,인원급성장,301~1,000명,설립4~9년",상시채용,경력 4-10년
131,포지큐브(POSICUBE),데이터 처리 및 포맷팅. 주니어 개발자,서울 강남구,"서울특별시 강남구 역삼1동 823-30 라인빌딩 10층, 11층, 12층","재택근무,스톡옵션,편의시설,자기계발지원,유연근무,건강검진지원,커피·스낵바,장비지원,보너스,식대지원,연봉상위6~10%,인원급성장,51~300명,설립4~9년",상시채용,경력 1-3년
132,씨메스(CMES),AI 모델 유지관리를 위한 데이터 매니저,서울 강남구,강남구 도산대로 318 SB타워 8층,"건강검진지원,식대지원,커피·스낵바,편의시설,유망산업,연봉상위2~5%,인원급성장,51~300명,설립10년이상",2024.05.31,신입-경력 10년
133,스파크플러스 (SPARKPLUS),데이터 조사 관리,서울 강남구,"서울시 강남구 테헤란로 201, 아주빌딩 2층(역삼동)","건강검진지원,커피·스낵바,연봉상위6~10%,51~300명,설립4~9년",2024.05.31,경력 1-10년
134,셀렉트스타,AI Vision Engineer,서울 강남구,"서울특별시 강남구 테헤란로20길 20, 삼정빌딩 10F/11F","유망산업,장비지원,유급휴가,식대지원,재택근무,무제한연차,인원급성장,51~300명,설립4~9년",상시채용,경력 3-5년
135,에스티로직(STLogic),데이터 분석 및 연구,서울 서초구,"서울 송파구 법원로11길 7, 문정 현대지식산업센터 C동 11층 1105호 (05836)","인원급성장,자기계발지원,통신비,커피·스낵바,유급휴가,식대지원,연봉상위6~10%,50명이하,설립10년이상",2024.05.10,경력 3-10년
136,스펙터,데이터 분석가(사이언티스트),서울 강남구,테헤란로7길 22,"장비지원,보너스,자기계발지원,식대지원,커피·스낵바,유연근무,연봉상위6~10%,인원급성장,50명이하,설립4~9년",2024.05.31,경력 2-15년
137,제네시스랩,[200억↑투자] AI Scientist,서울 중구,"중구 명동길 73, 5층","건강검진지원,유망산업,자기계발지원,재택근무,유연근무,연봉상위2~5%,51~300명,설립4~9년",상시채용,경력 1-10년
138,에이비일팔공(AB180),[100억↑투자] Data Scientist,서울 서초구,서울특별시 서초구 강남대로61길 17,"커피·스낵바,식대지원,워크샵,유급휴가,건강검진지원,유망산업,자유로운휴가,연봉상위2~5%,인원급성장,51~300명,설립4~9년",상시채용,신입-경력 5년
139,"브레이브모바일(숨고,Soomgo)",Data Scientist,서울 강남구,"서울시 강남구 테헤란로 415, L7 강남타워 5층 브레이브모바일(숨고)","자기계발지원,유연근무,커피·스낵바,식대지원,장비지원,연봉상위11~20%,인원급성장,51~300명,설립10년이상",상시채용,경력 3-10년
140,번개장터,Data Scientist,서울 서초구,"서울시 서초구 서초대로38길 12 마제스타시티 타워 2, 10층","건강검진지원,식대지원,보너스,커피·스낵바,연봉상위6~10%,51~300명,설립10년이상",상시채용,경력 5-8년
141,틸다,ML/DL 엔지니어 [Production],서울 서초구,서초구 태봉로 114 812호,"자율복장,자기계발지원,식대지원,유연근무,설립3년이하",2024.05.31,신입-경력 5년
142,태그바이컴퍼니 (TAGby),Data Scientist,서울 강남구,"서울특별시 강남구 테헤란로7길 22, 10층","건강검진지원,커피·스낵바,자기계발지원,인원급성장,50명이하,설립4~9년",상시채용,경력 1-10년
143,웅진씽크빅,데이터사이언티스트,서울 종로구,중구 청계천로 24,"유망산업,건강검진지원,휴가비,어린이돌봄,유연근무,연봉상위6~10%,1,001~10,000명,설립10년이상",상시채용,경력 1-2년
144,스캐터랩(Scatterlab),Data Analyst,서울 성동구,서울특별시 성동구 성수동1가 656-292 패스트파이브 9층,"편의시설,장비지원,커피·스낵바,휴가비,유망산업,연봉상위2~5%,50명이하,설립10년이상",상시채용,경력 3-5년
145,데이터라이즈,[100억↑투자] Data Analytics Engineer(2년 이상),서울 강남구,"서울특별시 강남구 도곡로 205, YK빌딩 6층","자기계발지원,커피·스낵바,재택근무,건강검진지원,연봉상위2~5%,50명이하,설립4~9년",상시채용,경력 2-10년
146,아로아랩스,AI/ML 연구원,서울 마포구,서울특별시 마포구 연남로 73-3,"식대지원,보너스,유망산업,연봉상위2~5%,인원급성장,50명이하,설립3년이하",상시채용,신입-경력 5년
147,휴멜로,[생성형 인공지능] Generative AI Engineer,서울 강남구,서울특별시 강남구 테헤란로4길 38-4 (태양빌딩) 12층,"유망산업,식대지원,커피·스낵바,보너스,재택근무,설립4~9년",상시채용,경력 2-6년
148,하이(Haii),데이터 사이언티스트,서울 종로구,"종로구 삼일대로 428, 낙원상가 501호","유망산업,자유로운휴가,커피·스낵바,자기계발지원,재택근무,보너스,건강검진지원,인원급성장,51~300명,설립4~9년",상시채용,경력 2-5년
149,딥인사이트,Data Scientist,경기 성남시,"경기 성남시 분당구 대왕판교로 660 (삼평동, 유스페이스1) B동 702호","유급휴가,유망산업,자율복장,건강검진지원,유연근무,연봉상위2~5%,인원급성장,50명이하,설립4~9년",상시채용,경력 1-10년
